item_key,difficulty,content_field,claim_id,original_claim,source_url,source_sha256,page_or_section,evidence_excerpt,verdict,proposed_correction,reviewed_revision
shinjuku-2026-r2-gian-42,hard,content,C42-H-02,"国庫支出金約9億2,000万円・都支出金約1億4,000万円・財政調整基金繰入金約5億2,500万円",https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.2 歳入,"財政調整基金繰入金47,885千円・社会資本等整備基金繰入金14,100千円",contradicted,実数に差し替え,step3-audit-r8-2
shinjuku-2026-r2-gian-42,hard,content,C42-H-03,財政調整基金残高は取り崩し後も約350億円規模を維持,https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.2 財政調整基金現在高見込み,"8年度末現在高見込額 26,179,670千円",contradicted,"26,179,670千円（約261億8千万円）に訂正",step3-audit-r8-2
shinjuku-2026-r2-gian-42,hard,content,C42-H-04,実質赤字比率及び連結実質赤字比率は引き続き該当なし,,,,,needs_source,削除（一次資料に記載がない）,step3-audit-r8-2
shinjuku-2026-r2-gian-42,hard,content,C42-H-05,地方自治法第218条第1項に基づく補正予算,https://www.city.shinjuku.lg.jp/content/000457639.pdf,ac6e93cedcf8ebce16843474aa13de52397bb65dc7bfdf7a57ebee1adc3fa5ee,議案全文,議案本文に根拠条項の記載はない,unsupported,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-42,hard,content,C42-H-06,"特別区債の起債限度額を2,443,000千円から2,547,000千円に変更",https://www.city.shinjuku.lg.jp/content/000457639.pdf,ac6e93cedcf8ebce16843474aa13de52397bb65dc7bfdf7a57ebee1adc3fa5ee,第2表 特別区債補正,"合計 補正前2,443,000千円 補正後2,547,000千円",supported,新規に明記,step3-audit-r8-2
shinjuku-2026-r2-gian-49,normal,content,C49-N-01,特定在留カード・特定特別永住者証明書の創設,https://www.city.shinjuku.lg.jp/content/000457648.pdf,dbe8f3ae4be3eae10ffbd61accee1bc3e465e76d1c031d804a871a0a76ab6fe1,第1条〜第3条 各号,入管法第19条の15の2第1項の特定在留カード、入管特例法第16条の2第1項の特定特別永住者証明書,supported,条項付きで明記,step3-audit-r8-2
shinjuku-2026-r2-gian-49,normal,content,C49-N-02,新宿区には120か国以上、約4万人を超える外国人住民が暮らしている,https://www.city.shinjuku.lg.jp/content/000462485.pdf,95935e780c3b7857eed990a87dc41762e4df3ff4455d7409bd69f29aff2c038f,合計行,"令和8年8月1日現在の合計は51,870人。国籍・地域は134行で、うち1行は無国籍",contradicted,"令和8年8月1日現在51,870人・130を超える国籍地域に訂正（基準日を明示）",step3-audit-r8-2
shinjuku-2026-r2-gian-49,normal,content,C49-N-03,区役所や特別出張所の窓口混雑を緩和する目的,,,,,unsupported,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-49,normal,content,C49-N-04,窓口よりお得なコンビニ交付料金で利用可能,https://www.city.shinjuku.lg.jp/content/000457648.pdf,dbe8f3ae4be3eae10ffbd61accee1bc3e465e76d1c031d804a871a0a76ab6fe1,第2条,手数料条例の改正は別表備考への書類追加のみで、額を改める規定はない,unsupported,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-49,normal,content,C49-N-05,セブン-イレブン、ファミリーマート、ローソン等で取得可能,,,,,unsupported,削除（事業者名は一次資料に記載がない）,step3-audit-r8-2
shinjuku-2026-r2-gian-49,normal,content,C49-N-06,施行日は公布の日,https://www.city.shinjuku.lg.jp/content/000457648.pdf,dbe8f3ae4be3eae10ffbd61accee1bc3e465e76d1c031d804a871a0a76ab6fe1,附則,この条例は、公布の日から施行する,supported,維持,step3-audit-r8-2
shinjuku-2026-r2-gian-49,normal,content,C49-N-07,改正対象は印鑑条例・一般事務手数料条例・住民基本台帳制度の適正な運用に関する条例の3条例,https://www.city.shinjuku.lg.jp/content/000457648.pdf,dbe8f3ae4be3eae10ffbd61accee1bc3e465e76d1c031d804a871a0a76ab6fe1,第1条〜第3条,3条例の一括改正,supported,条例番号付きで維持,step3-audit-r8-2
shinjuku-2026-r2-gian-49,hard,content,C49-H-01,令和6年法律第60号等の改正に伴う,https://www.city.shinjuku.lg.jp/content/000457648.pdf,dbe8f3ae4be3eae10ffbd61accee1bc3e465e76d1c031d804a871a0a76ab6fe1,提案理由,出入国管理及び難民認定法等の一部を改正する法律（令和6年法律第59号）,contradicted,令和6年法律第59号に訂正,step3-audit-r8-2
shinjuku-2026-r2-gian-49,hard,content,C49-H-02,証明書交付手数料（1通あたり200円等）の減額適用対象に追加,https://www.city.shinjuku.lg.jp/content/000457648.pdf,dbe8f3ae4be3eae10ffbd61accee1bc3e465e76d1c031d804a871a0a76ab6fe1,第2条,別表備考への書類追加のみ。金額の記載はない,contradicted,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-49,hard,content,C49-H-03,J-LISのコンビニ交付サービス（LGWAN連携）における外国人住民認証プロトコルに適合済み,,,,,unsupported,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-51,normal,title,C51-N-01,満3歳以上児向け小規模保育事業の基準整備と保育の選択肢拡大,https://www.city.shinjuku.lg.jp/content/000456353.pdf,e1be5ac0c08d22dc59916c81fd24bd972ef44b601f8cd65ba76fc5d1f9d35c92,p.3 第51号議案,運営に関する基準の改正であり、設備・職員配置の認可基準は第50号議案の所管,contradicted,運営ルールを定める条例改正である旨に差し替え,step3-audit-r8-2
shinjuku-2026-r2-gian-51,normal,content,C51-N-02,職員配置基準は満3歳児20対1、満4歳以上児30対1,https://www.city.shinjuku.lg.jp/content/000457650.pdf,8ad70c4705084865668f50dc7c0e1ba727dc645f70308d20bebc607473b6a3ed,議案全文,職員配置に関する改正規定は存在しない,contradicted,削除し、認可基準条例（第50号議案）の所管である旨を明記,step3-audit-r8-2
shinjuku-2026-r2-gian-51,normal,content,C51-N-03,保育室等の面積は児童1人につき3.3平方メートル以上,https://www.city.shinjuku.lg.jp/content/000457650.pdf,8ad70c4705084865668f50dc7c0e1ba727dc645f70308d20bebc607473b6a3ed,議案全文,面積基準に関する改正規定は存在しない,contradicted,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-51,normal,content,C51-N-04,屋外遊技場がない場合の近隣公園等の利用体制を義務付け,https://www.city.shinjuku.lg.jp/content/000457650.pdf,8ad70c4705084865668f50dc7c0e1ba727dc645f70308d20bebc607473b6a3ed,議案全文,該当する規定は存在しない,contradicted,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-51,normal,content,C51-N-05,卒園後の受け入れ先となる連携施設との協定を必須化,https://www.city.shinjuku.lg.jp/content/000457650.pdf,8ad70c4705084865668f50dc7c0e1ba727dc645f70308d20bebc607473b6a3ed,第42条第8項（新設）,満3歳以上限定小規模保育事業者は、第1項第3号に係る連携協力を求めることを要しない,contradicted,求めることを要しない旨に訂正（意味が正反対）,step3-audit-r8-2
shinjuku-2026-r2-gian-51,normal,content,C51-N-06,利用定員は6人以上19人以下,https://www.city.shinjuku.lg.jp/content/000457650.pdf,8ad70c4705084865668f50dc7c0e1ba727dc645f70308d20bebc607473b6a3ed,第37条第3項（新設）,事業所ごとに法第19条第2号の小学校就学前子どもに係る利用定員を定める。人数の規定はない,contradicted,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-51,normal,content,C51-N-07,施行日は公布の日の翌日,https://www.city.shinjuku.lg.jp/content/000457650.pdf,8ad70c4705084865668f50dc7c0e1ba727dc645f70308d20bebc607473b6a3ed,附則第1項,この条例は、公布の日の翌日から施行する。ただし、次項の規定は、公布の日から施行する,supported,附則第2項の例外を追記して維持,step3-audit-r8-2
shinjuku-2026-r2-gian-51,hard,content,C51-H-01,第43条の2に利用定員を新設,https://www.city.shinjuku.lg.jp/content/000457650.pdf,8ad70c4705084865668f50dc7c0e1ba727dc645f70308d20bebc607473b6a3ed,第37条第3項・第51条の2,新設される条は第51条の2であり、利用定員は第37条第3項,contradicted,条番号を訂正,step3-audit-r8-2
shinjuku-2026-r2-gian-51,hard,content,C51-H-02,常時2人以上の配置要件等を適用,https://www.city.shinjuku.lg.jp/content/000457650.pdf,8ad70c4705084865668f50dc7c0e1ba727dc645f70308d20bebc607473b6a3ed,議案全文,該当する規定は存在しない,contradicted,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-51,hard,content,C51-H-03,児童福祉審議会等の意見を反映した指導監督基準を策定,,,,,unsupported,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-51,hard,content,C51-H-04,こども家庭庁関係内閣府令の整備等に関する内閣府令（令和8年内閣府令第3号）の施行に伴う改正,https://www.city.shinjuku.lg.jp/content/000457650.pdf,8ad70c4705084865668f50dc7c0e1ba727dc645f70308d20bebc607473b6a3ed,提案理由,同旨の記載がある,supported,提案理由を引用して追加,step3-audit-r8-2
shinjuku-2026-r2-gian-53,normal,content,C53-N-01,空き缶等の定義に食料品の容器および飲食に用いる用具を追加,https://www.city.shinjuku.lg.jp/content/000457652.pdf,53fb47b9441caf8a89cfc884669075d96979e903ae5f0e28e5d40f43561d9188,第2条第1号改正,「飲料」を「飲食料」に改め、「容器」の次に「、ストロー、割り箸その他の飲食に用いる用具及びチューインガムのかみかす」を加える,supported,改め文を引用して維持,step3-audit-r8-2
shinjuku-2026-r2-gian-53,normal,content,C53-N-02,歌舞伎町や大久保地域をはじめとする繁華街でポイ捨てが目立つ,,,,,unsupported,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-53,normal,content,C53-N-03,区民からの苦情・相談が後を絶たない,,,,,unsupported,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-53,normal,content,C53-N-04,ふんを収納する用具の常時携帯を義務付け,https://www.city.shinjuku.lg.jp/content/000457652.pdf,53fb47b9441caf8a89cfc884669075d96979e903ae5f0e28e5d40f43561d9188,第4条第2項（新設）,犬に散歩、運動等をさせるときは、ふんを収納する用具を携帯し、その用具によりふんを適切に処理しなければならない,contradicted,「散歩・運動等をさせるとき」に限定して訂正,step3-audit-r8-2
shinjuku-2026-r2-gian-53,normal,content,C53-N-05,施行日は犬のふんが公布の日、定義拡大が令和8年10月1日,https://www.city.shinjuku.lg.jp/content/000457652.pdf,53fb47b9441caf8a89cfc884669075d96979e903ae5f0e28e5d40f43561d9188,附則,令和8年10月1日から施行する。ただし第4条の改正規定は公布の日から施行する,supported,維持,step3-audit-r8-2
shinjuku-2026-r2-gian-53,normal,content,C53-N-06,事業者へのごみ箱適正管理・散乱防止啓発の協力要請,,,,,unsupported,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-53,hard,content,C53-H-01,改正後の第2条第1号は「飲料又は食料品を充填し、若しくは収納した容器、飲食に用いる用具並びに吸い殻及びチューインガムのかみかすをいう。」,https://www.city.shinjuku.lg.jp/content/000457652.pdf,53fb47b9441caf8a89cfc884669075d96979e903ae5f0e28e5d40f43561d9188,第2条第1号改正,議案は改め文形式であり、この文言は存在しない,contradicted,改め文をそのまま引用し、確定条文は例規集で確認する旨を明記,step3-audit-r8-2
shinjuku-2026-r2-gian-53,hard,content,C53-H-02,第4条第3項を新設し「公共の場所において運動させるとき…持ち帰り」と規定,https://www.city.shinjuku.lg.jp/content/000457652.pdf,53fb47b9441caf8a89cfc884669075d96979e903ae5f0e28e5d40f43561d9188,第4条第2項（新設）,新設されるのは第2項。「公共の場所」「持ち帰り」の文言はない,contradicted,第2項の実文言に訂正,step3-audit-r8-2
shinjuku-2026-r2-gian-53,hard,content,C53-H-03,法的根拠は地方自治法第14条第1項・廃棄物処理法第5条・動物愛護法第7条,https://www.city.shinjuku.lg.jp/content/000457652.pdf,53fb47b9441caf8a89cfc884669075d96979e903ae5f0e28e5d40f43561d9188,議案全文,議案に根拠条項の記載はない,unsupported,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-53,hard,content,C53-H-04,生活環境美化推進指導員の巡回指導の拡充および過料処分の運用,,,,,unsupported,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-53,hard,content,C53-H-05,約3か月の周知指導準備期間を要するため段階施行,,,,,unsupported,削除（施行日の事実のみ記載）,step3-audit-r8-2
shinjuku-2026-r2-gian-58,normal,content,C58-N-01,"契約金額3億8,489万円（税込）",https://www.city.shinjuku.lg.jp/content/000457657.pdf,d6c0375028c0c10a6baf287b5e42d1ae8b5bf2bfec7c0053f98bd93ef5e8a5ef,3 契約金額,"3億8,489万円",supported,「税込」の限定は出典にないため落として維持,step3-audit-r8-2
shinjuku-2026-r2-gian-58,normal,content,C58-N-02,契約の相手方は株式会社五藤光学研究所,https://www.city.shinjuku.lg.jp/content/000457657.pdf,d6c0375028c0c10a6baf287b5e42d1ae8b5bf2bfec7c0053f98bd93ef5e8a5ef,4 契約の相手方,東京都府中市矢崎町四丁目16番地 株式会社五藤光学研究所 取締役社長 五藤信隆,supported,維持,step3-audit-r8-2
shinjuku-2026-r2-gian-58,normal,content,C58-N-03,履行期間は本契約締結日の翌日から令和9年6月30日まで,https://www.city.shinjuku.lg.jp/content/000456353.pdf,e1be5ac0c08d22dc59916c81fd24bd972ef44b601f8cd65ba76fc5d1f9d35c92,p.6 第58号議案 4 履行期間,本契約締結日の翌日から令和9年6月30日まで,supported,維持,step3-audit-r8-2
shinjuku-2026-r2-gian-58,normal,content,C58-N-04,高精細4Kデジタル映像システムを融合したハイブリッドシステム,https://www.city.shinjuku.lg.jp/content/000456353.pdf,e1be5ac0c08d22dc59916c81fd24bd972ef44b601f8cd65ba76fc5d1f9d35c92,p.6 1 工事概要,プラネタリウム機器及び附帯設備・機器等を製作し設置する旨のみで、方式の記載はない,unsupported,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-58,normal,content,C58-N-05,立体音響設備も更新,https://www.city.shinjuku.lg.jp/content/000456353.pdf,e1be5ac0c08d22dc59916c81fd24bd972ef44b601f8cd65ba76fc5d1f9d35c92,p.6 1 工事概要,更新対象は座席・床カーペット・ドームスクリーン・床周り,unsupported,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-58,normal,content,C58-N-06,リクライニング座席への更新および車いすスペースの拡張,https://www.city.shinjuku.lg.jp/content/000456353.pdf,e1be5ac0c08d22dc59916c81fd24bd972ef44b601f8cd65ba76fc5d1f9d35c92,p.6 1 工事概要,座席及び床カーペットの更新とのみ記載,unsupported,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-58,hard,content,C58-H-01,地方自治法施行令第167条の2第1項第2号に基づく随意契約,https://www.city.shinjuku.lg.jp/content/000457657.pdf,d6c0375028c0c10a6baf287b5e42d1ae8b5bf2bfec7c0053f98bd93ef5e8a5ef,2 契約の方法,随意契約とのみ記載され、根拠条項の記載はない,unsupported,削除し、記載がない旨を明示,step3-audit-r8-2
shinjuku-2026-r2-gian-58,hard,content,C58-H-02,"議決に付すべき契約の基準は予定価格1億5,000万円以上",,,,,needs_source,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-58,hard,content,C58-H-03,同社製システムが要求仕様を唯一満たしている（随意契約の理由）,,,,,unsupported,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-58,hard,content,C58-H-04,令和8年度に機器詳細設計、令和9年夏にリニューアルオープン,,,,,unsupported,削除,step3-audit-r8-2
shinjuku-2026-r2-gian-58,hard,content,C58-H-05,"資本金5,000万円",https://www.city.shinjuku.lg.jp/content/000456353.pdf,e1be5ac0c08d22dc59916c81fd24bd972ef44b601f8cd65ba76fc5d1f9d35c92,p.6 7 契約の相手方,"資本金 5,000万円",supported,維持,step3-audit-r8-2
shinjuku-2026-r2-gian-58,hard,content,C58-H-06,支出科目は教育費・教育総務費・教育センター費の委託料、令和9年度は債務負担行為,https://www.city.shinjuku.lg.jp/content/000457657.pdf,d6c0375028c0c10a6baf287b5e42d1ae8b5bf2bfec7c0053f98bd93ef5e8a5ef,5 支出科目等,同旨の記載がある,supported,新規に追加,step3-audit-r8-2
